Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Renault,Hatchback,04-Jul-2019,9yrs 3mths 15days COE left),8780,4500,1148,35770,26659,1461,1501,2019,Auto,23315,14641,81,1,88999
Kia,Hatchback,25-Aug-2011,1yr 5mths 6days COE left),N.A,N.A,738,N.A,48801,1591,1261,2011,Auto,12570,12570,91,3,N.A
BMW,MPV,24-Oct-2019,9yrs 7mths 5days COE left),N.A,N.A,684,N.A,34001,1499,1490,2019,Auto,31966,36753,80,1,N.A
Toyota,MPV,25-Mar-2009,8yrs 10mths 13days COE left),N.A,N.A,269,N.A,31335,1794,1310,2009,Auto,18662,6663,97,1,N.A
BMW,MPV,24-Oct-2019,9yrs 7mths 5days COE left),N.A,N.A,684,N.A,34001,1499,1490,2019,Auto,31966,36753,80,1,N.A
Volkswagen,Sports Car,15-Aug-2016,6yrs 4mths 27days COE left),10460,57100,620,51540,52503,1390,1245,2016,Auto,22743,23841,90,1,79000
Volkswagen,Hatchback,27-May-2010,5yrs  COE left),6160,N.A,620,N.A,N.A,1390,1129,2010,Auto,15073,15073,63,3,30800
Toyota,Mid-Sized Sedan,08-Feb-2010,4yrs 10mths 20days COE left),5880,N.A,684,16175,16519,1497,1095,2009,Auto,12717,12717,80,2,28800
Honda,Stationwagon,27-Apr-2016,6yrs 1mth 8days COE left),8850,53444,682,33072,45000,1496,1130,2015,Auto,17439,7439,97,3,57800
Honda,Stationwagon,21-Dec-2018,8yrs 9mths 2days COE left),6630,13428,182,23215,15001,1496,1220,2018,Auto,22445,13423,101,1,64800
Hyundai,Stationwagon,16-Sep-2009,4yrs 1mth 12days COE left),6310,N.A,812,10786,13088,1591,1360,2009,Auto,14936,14936,89,2,25988
Mercedes-Benz,SUV,13-Sep-2016,6yrs 5mths 25days COE left),16880,81000,1202,72323,56500,1991,1735,2016,Auto,39668,47536,155,1,133300
Mercedes-Benz,Luxury Sedan,09-Dec-2016,6yrs 8mths 20days COE left),N.A,N.A,740,N.A,56500,1595,1425,2016,Auto,35663,36929,115,1,N.A
BMW,Luxury Sedan,17-Jun-2016,6yrs 2mths 29days COE left),11780,37600,684,52276,49156,1499,1425,2016,Auto,29816,28743,100,1,88000
